date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:37	9065/9065	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Aug%202024%2000:23:48%20GMT	https://ticketspays.com/cupom1/cupom1.php	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/cupom1.html	(from )
21:19:38	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-66356f43-4a1f7bb9f2212fc1;gz%22	https://ticketspays.com/robots.txt		(from )
21:19:38	16973/16973	---M-Z	200	added ('OK')	text/css	etag:%22424d-66a112c1-537a3a5969eeb498;gz%22	https://ticketspays.com/cupom1/css/5921624bf5bbe4c8c091ef09226fa76f.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/5921624bf5bbe4c8c091ef09226fa76f.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:39	170/170	---M--	200	added ('OK')	text/css	etag:%22aa-66a112c1-de486e8d6e98bcac;;;%22	https://ticketspays.com/cupom1/css/1c7a3d2ee9759dc256d915300855c494.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/1c7a3d2ee9759dc256d915300855c494.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:39	6074/6074	---M-Z	200	added ('OK')	text/css	etag:%2217ba-66a112c1-2c5e474f7d10f6b2;gz%22	https://ticketspays.com/cupom1/css/ba9cbbe9240a489628be8eb27c56db8a.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/ba9cbbe9240a489628be8eb27c56db8a.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:39	15453/15453	---M-Z	200	added ('OK')	text/css	etag:%223c5d-66a112c1-99c7d714b235a1bf;gz%22	https://ticketspays.com/cupom1/css/style2.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/style2.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:39	2530/2530	---M-Z	200	added ('OK')	text/css	etag:%229e2-66a112c1-96948930996bad1e;gz%22	https://ticketspays.com/cupom1/css/slider.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/slider.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:40	72922/72922	---M-Z	200	added ('OK')	text/css	etag:%2211cda-66a112c1-d8a2aedc04c48baa;gz%22	https://ticketspays.com/cupom1/css/animated.css	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/css/animated.css	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:40	2926/2926	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Aug%202024%2000:23:51%20GMT	https://ticketspays.com/cupom1/images/faveicon.png	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/faveicon.png	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:40	17817/17817	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Aug%202024%2000:23:52%20GMT	https://ticketspays.com/cupomdavez/images/logo3.png	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupomdavez/images/logo3.png	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:40	15897/15897	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Aug%202024%2000:23:52%20GMT	https://ticketspays.com/cupom1/images/ok.png	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/ok.png	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:41	44984/44984	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:52%20GMT	https://ticketspays.com/cupom1/images/10.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/10.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:41	35231/35231	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:52%20GMT	https://ticketspays.com/cupom1/images/18.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/18.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:42	47198/47198	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:53%20GMT	https://ticketspays.com/cupom1/images/58.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/58.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:42	42716/42716	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:54%20GMT	https://ticketspays.com/cupom1/images/13.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/13.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:42	28918/28918	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:54%20GMT	https://ticketspays.com/cupom1/images/29.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/29.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:43	34611/34611	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:54%20GMT	https://ticketspays.com/cupom1/images/32.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/32.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:43	37106/37106	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:54%20GMT	https://ticketspays.com/cupom1/images/84.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/84.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:43	40842/40842	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:55%20GMT	https://ticketspays.com/cupom1/images/61.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/61.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:44	43881/43881	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:55%20GMT	https://ticketspays.com/cupom1/images/53.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/53.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:44	32249/32249	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:55%20GMT	https://ticketspays.com/cupom1/images/26.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/26.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:44	44880/44880	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Aug%202024%2000:23:55%20GMT	https://ticketspays.com/cupom1/images/62.jpg	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/images/62.jpg	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:44	84704/84704	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214ae0-66a112c1-9c53335176a7d8b2;gz%22	https://ticketspays.com/cupom1/js/jquery.min.js	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/js/jquery.min.js	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:44	19225/19225	---M-Z	200	added ('OK')	application/x-javascript	etag:%224b19-66a112c1-dd09c5b89edaceb5;gz%22	https://ticketspays.com/cupom1/js/jquery.mask.js	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/js/jquery.mask.js	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:45	703/703	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bf-66a112c1-7bc8882307ea7a33;gz%22	https://ticketspays.com/cupom1/js/slider.js	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/js/slider.js	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:45	16529/16529	---M-Z	200	added ('OK')	application/x-javascript	etag:%224091-66a112c1-21d044b9be91ef46;gz%22	https://ticketspays.com/cupom1/js/validacaoCodigoBarras.js	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/js/validacaoCodigoBarras.js	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:45	645/645	---M-Z	200	added ('OK')	application/x-javascript	etag:%22285-66a112c1-678deaa3579ef67;gz%22	https://ticketspays.com/cupom1/js/funcoes.js	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/js/funcoes.js	(from https://ticketspays.com/cupom1/cupom1.php)
21:19:47	728340/728340	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b1d14-66a112c1-d9b9db8b6d8929fa;gz%22	https://ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1t-p_4MrImHCIJIZrDCvHeem.ttf	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1t-p_4MrImHCIJIZrDCvHeem.ttf	(from https://ticketspays.com/cupom1/css/5921624bf5bbe4c8c091ef09226fa76f.css)
21:19:47	728068/728068	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b1c04-66a112c1-f055389588b07809;gz%22	https://ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1p-p_4MrImHCIJIZrDCvHeem.ttf	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1p-p_4MrImHCIJIZrDCvHeem.ttf	(from https://ticketspays.com/cupom1/css/5921624bf5bbe4c8c091ef09226fa76f.css)
21:19:47	727996/727996	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22b1bbc-66a112c1-378082c98cda6614;gz%22	https://ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1v-p_4MrImHCIJIZrDCvHeem.ttf	C:/Users/brenn/Documents/tickets/cupom1/ticketspays.com/cupom1/fonts/kJF1BvYX7BgnkSrUwT8OhrdQw4oELdPIeeII9v6oDMzByHX9rA6RzaxHMPdY43zj-jCxv3fzvRNU22ZXGJpEpjC_1v-p_4MrImHCIJIZrDCvHeem.ttf	(from https://ticketspays.com/cupom1/css/5921624bf5bbe4c8c091ef09226fa76f.css)
